timestamp,trade,fill_price,reservation_price,inventory,cash_position,portfolio_value
2025-04-17 09:58:30,SELL,372.05,372.07,-2,372.05,-372.06
2025-04-17 10:11:00,SELL,370.68,370.7,-3,742.73,-369.235
2025-04-17 10:15:00,SELL,370.73,370.73,-4,1113.46,-369.38
2025-04-17 10:19:30,SELL,370.72,370.72,-5,1484.18,-369.32
2025-04-17 10:25:30,SELL,370.3,370.32,-6,1854.48,-367.29
2025-04-17 10:28:00,SELL,370.06,370.07,-7,2224.54,-365.88
2025-04-17 10:34:30,SELL,369.64,369.64,-8,2594.18,-362.66
2025-04-17 10:39:30,SELL,368.87,368.88,-9,2963.05,-356.645
2025-04-17 10:42:00,SELL,369.63,369.64,-10,3332.68,-363.52
2025-04-17 10:42:30,BUY,369.55,369.54,-9,2963.13,-362.685
2025-04-17 10:44:00,SELL,369.66,369.67,-10,3332.79,-363.81
2025-04-17 10:45:00,BUY,369.86,369.84,-9,2962.93,-365.585
2025-04-17 10:45:30,SELL,369.84,369.84,-10,3332.77,-365.63
2025-04-17 10:47:00,BUY,370.03,370.01,-9,2962.74,-367.305
2025-04-17 10:47:30,BUY,370.08,370.04,-8,2592.66,-367.66
2025-04-17 10:48:30,BUY,370.14,370.13,-7,2222.52,-368.39
2025-04-17 10:49:00,SELL,370.11,370.11,-8,2592.63,-368.25
2025-04-17 10:51:30,BUY,370.16,370.16,-7,2222.47,-368.545
2025-04-17 10:52:00,BUY,370.15,370.15,-6,1852.32,-368.55
2025-04-17 10:54:30,BUY,370.1,370.07,-5,1482.22,-368.08
2025-04-17 10:58:30,SELL,369.92,369.93,-6,1852.14,-367.41
2025-04-17 10:59:30,BUY,369.81,369.78,-5,1482.33,-366.57
2025-04-17 11:02:30,BUY,369.61,369.59,-4,1112.72,-365.62
2025-04-17 11:04:30,BUY,369.49,369.49,-3,743.23,-365.225
2025-04-17 11:10:00,SELL,371.3,371.31,-4,1114.53,-370.61
2025-04-17 11:11:00,SELL,371.71,371.72,-5,1486.24,-372.31
2025-04-17 11:13:30,SELL,371.64,371.65,-6,1857.88,-371.93
